X,y
0.0,0.3
0.002,0.3014
0.004,0.3028
0.006,0.30420002
0.008,0.30560002
0.01,0.307
0.012,0.3084
0.014,0.3098
0.016,0.31120002
0.018000001,0.31260002
0.020000001,0.314
0.022,0.3154
0.024,0.3168
0.026,0.31820002
0.028,0.31960002
0.030000001,0.321
0.032,0.3224
0.034,0.32380003
0.036000002,0.32520002
0.038000003,0.32660002
0.040000003,0.328
0.042000003,0.3294
0.044,0.3308
0.046,0.33220002
0.048,0.3336
0.05,0.335
0.052,0.3364
0.054,0.33780003
0.056,0.33920002
0.058000002,0.3406
0.06,0.342
0.062,0.3434
0.064,0.34480003
0.066,0.34620002
0.068,0.3476
0.07,0.349
0.072000004,0.35040003
0.074,0.35180002
0.076000005,0.35320002
0.078,0.3546
0.08,0.356
0.081999995,0.3574
0.084,0.3588
0.085999995,0.36020002
0.088,0.3616
0.089999996,0.363
0.092,0.36440003
0.094,0.36580002
0.096,0.36720002
0.098,0.3686
0.1,0.37
0.102,0.3714
0.104,0.37280002
0.106,0.37420002
0.108,0.3756
0.11,0.377
0.112,0.37840003
0.114,0.37980002
0.116000004,0.38120002
0.118,0.3826
0.120000005,0.384
0.122,0.3854
0.124000005,0.38680002
0.126,0.3882
0.128,0.3896
0.13000001,0.39100003
0.132,0.39240003
0.134,0.39380002
0.136,0.3952
0.13800001,0.3966
0.14,0.398
0.142,0.3994
0.144,0.4008
0.146,0.4022
0.14799999,0.4036
0.14999999,0.405
0.152,0.40640002
0.154,0.40780002
0.15599999,0.4092
0.15799999,0.4106
0.16,0.412
0.162,0.4134
0.16399999,0.4148
0.166,0.4162
0.168,0.4176
0.17,0.41900003
0.17199999,0.4204
0.174,0.42180002
0.176,0.4232
0.178,0.4246
0.17999999,0.426
0.182,0.4274
0.184,0.42880002
0.186,0.4302
0.188,0.4316
0.19,0.43300003
0.192,0.43440002
0.194,0.43580002
0.196,0.4372
0.198,0.4386
0.2,0.44
0.202,0.44140002
0.204,0.4428
0.206,0.4442
0.208,0.44560003
0.21000001,0.44700003
0.212,0.44840002
0.214,0.4498
0.216,0.4512
0.21800001,0.4526
0.22,0.454
0.222,0.4554
0.224,0.4568
0.22600001,0.45820004
0.228,0.45960003
0.23,0.46100003
0.23200001,0.46240002
0.23400001,0.4638
0.236,0.4652
0.238,0.4666
0.24,0.468
0.242,0.4694
0.24399999,0.47079998
0.24599999,0.4722
0.248,0.4736
0.25,0.47500002
0.252,0.47640002
0.254,0.4778
0.256,0.4792
0.25800002,0.4806
0.26000002,0.48200002
0.26200002,0.48340005
0.264,0.4848
0.266,0.4862
0.268,0.48760003
0.27,0.48900002
0.272,0.49040002
0.27400002,0.4918
0.27600002,0.4932
0.27800003,0.49460003
0.28,0.496
0.282,0.49740002
0.284,0.4988
0.286,0.50020003
0.288,0.5016
0.29,0.503
0.292,0.5044
0.294,0.5058
0.29599997,0.5072
0.29799998,0.5086
0.29999998,0.51
0.302,0.5114
0.304,0.5128
0.306,0.5142
0.308,0.5156
0.31,0.517
0.31199998,0.5184
0.31399998,0.5198
0.31599998,0.5212
0.318,0.5226
0.32,0.524
0.322,0.52540004
0.324,0.52680004
0.326,0.52820003
0.32799998,0.5296
0.32999998,0.531
0.332,0.5324
0.334,0.5338
0.336,0.5352
0.338,0.5366
0.34,0.538
0.342,0.5394
0.34399998,0.5408
0.346,0.54219997
0.348,0.5436
0.35,0.545
0.352,0.5464
0.354,0.5478
0.356,0.5492
0.358,0.55060005
0.35999998,0.552
0.362,0.55340004
0.364,0.55480003
0.366,0.5562
0.368,0.5576
0.37,0.559
0.372,0.5604
0.374,0.5618
0.376,0.5632
0.378,0.5646
0.38,0.566
0.382,0.5674
0.384,0.5688
0.386,0.5702
0.388,0.5716
0.39000002,0.573
0.392,0.5744
0.394,0.5758
0.396,0.5772
0.398,0.57860005
0.4,0.58000004
0.402,0.58140004
0.404,0.58280003
0.40600002,0.5842
0.408,0.5856
0.41,0.587
0.412,0.5884
0.414,0.5898
0.416,0.5912
0.418,0.5926
0.42000002,0.594
0.42200002,0.59540004
0.424,0.59679997
0.426,0.59819996
0.428,0.5996
0.43,0.601
0.432,0.6024
0.43400002,0.60380006
0.43600002,0.60520005
0.43800002,0.60660005
0.44,0.60800004
0.442,0.60940003
0.444,0.6108
0.446,0.6122
0.448,0.6136
0.45000002,0.615
0.45200002,0.6164
0.45400003,0.6178
0.456,0.6192
0.458,0.6206
0.46,0.622
0.462,0.6234
0.464,0.62479997
0.466,0.62619996
0.468,0.6276
0.47,0.629
0.47199997,0.6304
0.47399998,0.6318
0.47599998,0.6332
0.478,0.6346
0.48,0.63600004
0.482,0.63740003
0.484,0.6388
0.486,0.6402
0.48799998,0.6416
0.48999998,0.643
0.49199998,0.6444
0.494,0.6458
0.496,0.6472
0.498,0.6486
0.5,0.65
0.502,0.65139997
0.504,0.6528
0.506,0.65419996
0.508,0.6556
0.51,0.657
0.512,0.65840006
0.514,0.6598
0.51600003,0.66120005
0.518,0.66260004
0.52000004,0.66400003
0.522,0.6654
0.52400005,0.6668
0.526,0.6682
0.528,0.6696
0.53,0.671
0.532,0.6724
0.534,0.6738
0.536,0.6752
0.538,0.6766
0.54,0.67800003
0.542,0.67939997
0.544,0.6808
0.546,0.6822
0.54800004,0.68360007
0.55,0.685
0.55200005,0.68640006
0.554,0.68780005
0.55600005,0.68920004
0.558,0.69060004
0.56,0.69200003
0.562,0.6934
0.564,0.6948
0.566,0.6962
0.568,0.6976
0.57,0.699
0.572,0.7004
0.574,0.7018
0.576,0.7032
0.57799995,0.7046
0.58,0.706
0.58199996,0.70739996
0.584,0.70879996
0.58599997,0.71019995
0.588,0.7116
0.59,0.713
0.592,0.71440005
0.594,0.7158
0.596,0.71720004
0.598,0.71860003
0.6,0.72
0.602,0.7214
0.60400003,0.7228
0.606,0.7242
0.608,0.7256
0.60999995,0.727
0.612,0.7284
0.61399996,0.7298
0.616,0.7312
0.618,0.7326
0.62,0.73399997
0.622,0.73539996
0.624,0.7368
0.626,0.7382
0.628,0.73960006
0.63,0.741
0.632,0.74240005
0.634,0.74380004
0.63600004,0.74520004
0.638,0.74660003
0.64,0.748
0.64199996,0.7494
0.644,0.7508
0.64599997,0.7522
0.648,0.7536
0.65,0.755
0.652,0.7564
0.654,0.7578
0.656,0.7592
0.658,0.7606
0.66,0.762
0.662,0.7634
0.66400003,0.7648001
0.666,0.7662
0.66800004,0.76760006
0.67,0.76900005
0.672,0.7704
0.67399997,0.7718
0.676,0.77320004
0.678,0.7746
0.68,0.776
0.682,0.7774
0.684,0.7788
0.686,0.7802
0.688,0.7816
0.69,0.783
0.69200003,0.7844
0.694,0.7858
0.69600004,0.78720003
0.698,0.7886
0.70000005,0.7900001
0.702,0.7914
0.704,0.7928
0.706,0.79419994
0.708,0.7956
0.71,0.797
0.712,0.79840004
0.714,0.79980004
0.716,0.80120003
0.718,0.8026
0.72,0.804
0.722,0.8054
0.72400004,0.8068
0.726,0.8082
0.72800004,0.80960006
0.73,0.811
0.73200005,0.81240004
0.734,0.81380004
0.736,0.81520003
0.738,0.81659997
0.74,0.818
0.742,0.8194
0.744,0.8208
0.746,0.8222
0.748,0.8236
0.75,0.825
0.752,0.8264
0.75399995,0.8278
0.756,0.82919997
0.75799996,0.83059996
0.76,0.832
0.76199996,0.83339995
0.764,0.8348
0.766,0.8362
0.768,0.8376
0.77,0.839
0.772,0.84040004
0.774,0.8418
0.776,0.8432
0.778,0.8446
0.78000003,0.846
0.782,0.8474
